regressor__subsample,regressor__n_estimators,regressor__min_child_weight,regressor__max_depth,regressor__learning_rate,regressor__gamma,mae_avg,mae_std,medae_avg,medae_std,mse_avg,mse_std,rmse_avg,rmse_std,r2_avg,r2_std
1.0,10,3,5,0.3,1,5.822720012733059,0.1370379162142514,4.302389844258626,0.12671073588418136,63.51290791608502,2.488741073808353,7.967942028336372,0.15750475915310294,0.1644404555083359,0.042889867798197326
0.75,50,5,10,0.1,1,5.831516194897065,0.13842765511009908,4.2997611681620285,0.1289183908685857,63.671457762244195,2.483991811760677,7.977896380017164,0.15693027736300194,0.1623232291548677,0.04348988656486318
0.75,50,3,5,0.5,5,5.822746486253616,0.13783589511510422,4.289590501785279,0.1325855734863184,63.516205562662606,2.4560825056255644,7.968191162813422,0.1553549340210395,0.16436539857378582,0.043156217054176924
1.0,50,1,10,0.3,0,5.846200453883393,0.1396811756062673,4.306382211049398,0.13142646272184466,63.95942586906179,2.514552864926212,7.995892413750085,0.15852563450631801,0.15857158817491782,0.043173544230907
0.75,20,3,5,0.1,5,5.832076748091465,0.1352315041790933,4.329409996668498,0.11915313106455971,63.857002686093445,2.6234254421314107,7.989337635312829,0.16579154100090987,0.1600405408695572,0.04196989580142896
1.0,20,5,5,0.01,1,6.306562325353173,0.16280227750720666,4.7601646741231285,0.08833992042938271,75.7728007652099,4.988702259136353,8.699893542758282,0.2909520748897473,0.005359488724705541,0.03376123635610765
0.75,20,3,20,0.3,1,5.859898014733503,0.14171904625736506,4.324219059944153,0.1305509747188386,64.1934159685745,2.5062135526594846,8.010527325318279,0.15769571618677858,0.1554599676012953,0.04379376408303093
0.75,10,1,5,0.01,1,6.413645269060616,0.17206676945369698,4.8257916609446205,0.09891504148446251,78.39140210478104,5.458676908971252,8.848356869502176,0.3130220674564177,-0.02870657279149466,0.033933358331567506
0.75,10,5,20,0.01,1,6.413602252395451,0.1722330777568219,4.824880480766296,0.10333029649444586,78.3711130569316,5.438949752795917,8.847247373327484,0.31197271047568864,-0.028466618685896866,0.034228982470745184
0.75,50,5,20,0.1,1,5.847798279644276,0.1391928481373785,4.3206029812494915,0.1319027390998302,63.96885751591032,2.4819254666520587,7.996523563552499,0.15642382638189317,0.1583959088488026,0.04383110341758128
